Address,Time,Current Speed,FreeFlow Speed,Jam Factor,Confidence
80th Feet Road,2019-10-26T02:48:06Z,8.0,18.0,5.26984,0.7
80th Feet Road,2019-10-26T02:48:06Z,7.0,13.0,3.07692,0.7
50 Feet Road,2019-10-26T02:48:06Z,10.0,19.0,4.22556,0.7
Pipeline Road,2019-10-26T02:48:06Z,9.0,20.0,5.42857,0.7
50 Feet Road,2019-10-26T02:48:06Z,10.0,16.0,2.5,0.7
Ramanjaya Road,2019-10-26T02:48:06Z,12.0,20.0,3.33333,0.7
4th Main Road,2019-10-26T02:48:06Z,7.0,13.0,3.07692,0.7
4th Main Road,2019-10-26T02:48:06Z,13.0,24.0,4.47619,0.7
9th Main Road/Elephant Rock Road,2019-10-26T02:48:06Z,11.0,17.0,2.35294,0.7
5th Main Road,2019-10-26T02:47:10Z,9.0,24.0,6.85714,0.7
5th Main Road,2019-10-26T02:47:42Z,9.0,19.0,4.97744,0.7
1st Main Road,2019-10-26T02:47:42Z,12.0,21.0,3.80952,0.7
Pipeline Road,2019-10-26T02:48:06Z,8.0,17.0,4.7563,0.7
2nd Cross Road,2019-10-26T02:48:06Z,9.0,19.0,4.97744,0.7
4th Main Road,2019-10-26T02:48:06Z,9.0,20.0,5.42857,0.7
1st B Cross Road,2019-10-26T02:48:06Z,10.0,18.0,3.7037,0.7
1st B Cross Road,2019-10-26T02:48:06Z,16.0,34.0,6.0168,0.7
4th Main Road,2019-10-26T02:48:06Z,13.0,22.0,3.63636,0.7
Rashitriya Vidyalaya Road/Elephant Rock Road/Patilamma Temple Street,2019-10-26T02:47:14Z,8.0,30.0,8.27438,0.7
Kanakapura Main Road/3rd Cross Road,2019-10-26T02:47:14Z,12.0,26.0,5.75824,0.7
Kanakapura Main Road/South Cross Road,2019-10-26T02:47:14Z,10.0,16.0,2.5,0.7
Kanakapura Main Road/South Cross Road,2019-10-26T02:48:01Z,9.0,24.0,6.85714,0.7
Kanakapura Main Road/3rd Cross Road,2019-10-26T02:48:01Z,16.0,30.0,4.95238,0.7
Rashitriya Vidyalaya Road/Elephant Rock Road/Patilamma Temple Street,2019-10-26T02:48:01Z,13.0,25.0,4.85714,0.7
22nd Main Road,2019-10-26T02:48:06Z,15.0,30.0,5.42857,0.7
Sriniwasa Rao Road/Elephant Rock Road/Patilamma Temple Street,2019-10-26T02:48:06Z,12.0,30.0,6.85714,0.7
Sriniwasa Rao Road/Elephant Rock Road/Patilamma Temple Street,2019-10-26T02:48:06Z,15.0,29.0,5.133,0.7
22nd Main Road,2019-10-26T02:48:06Z,22.0,33.0,3.23232,0.7
30th Cross Road,2019-10-26T02:48:06Z,13.0,28.0,5.83673,0.7
